transaction_id,amount,transaction_hour,foreign_transaction,location_mismatch,velocity_last_24h,cardholder_age,is_fraud,device_trust_score_binned,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
1,84.47,22,0,0,3,40,0,2,0,1,0,0,0
2,529.8425,3,1,0,1,64,0,3,0,0,0,0,1
3,237.01,17,0,0,1,61,0,1,0,0,0,1,0
4,164.33,4,0,1,3,34,0,2,0,0,0,1,0
5,30.53,15,0,0,0,44,0,3,0,0,1,0,0
6,30.53,13,0,0,2,46,0,3,1,0,0,0,0
7,10.77,18,0,0,1,28,0,1,0,0,0,0,1
8,362.02,13,0,0,1,40,0,2,0,1,0,0,0
9,165.43,8,0,0,0,21,0,3,0,0,0,1,0
10,221.63,5,0,0,1,34,0,2,0,0,0,1,0
11,3.74,16,0,0,2,28,0,2,0,0,0,1,0
12,529.8425,18,0,0,4,25,0,1,1,0,0,0,0
13,321.56,11,0,0,4,68,0,2,1,0,0,0,0
14,42.96,3,0,0,2,43,0,1,0,0,0,0,1
15,36.12,15,0,0,2,69,0,1,0,1,0,0,0
16,36.47,10,0,0,2,66,0,1,1,0,0,0,0
17,65.3,21,0,0,1,25,0,1,0,0,1,0,0
18,133.91,3,0,0,2,25,0,2,1,0,0,0,0
19,101.8,16,1,0,3,24,0,3,0,0,0,1,0
20,61.96,7,0,0,2,68,0,2,0,1,0,0,0
21,170.35,13,0,0,4,51,0,3,0,0,0,0,1
22,27.04,1,0,0,1,49,0,3,1,0,0,0,0
23,62.19,10,0,0,2,30,0,2,0,0,0,1,0
24,82.13,10,0,0,2,53,0,3,0,0,1,0,0
25,109.61,23,0,0,2,35,0,3,0,0,1,0,0
26,276.83,21,1,0,3,30,0,3,0,0,0,0,1
27,40.09,23,0,0,1,47,0,3,0,0,0,0,1
28,129.97,5,0,0,1,18,0,1,1,0,0,0,0
29,161.55,20,0,0,3,52,0,2,0,0,0,0,1
30,8.56,20,0,0,1,20,0,3,0,0,0,1,0
31,168.36,13,0,0,2,47,0,2,0,0,0,1,0
32,33.65,9,0,0,2,65,0,2,0,0,0,1,0
33,12.11,7,0,0,3,42,0,1,1,0,0,0,0
34,529.8425,6,0,0,6,50,0,1,1,0,0,0,0
35,529.8425,7,0,0,5,33,0,2,0,0,0,0,1
36,297.42,7,0,0,2,66,0,2,1,0,0,0,0
37,65.39,22,0,0,1,20,0,3,0,0,0,1,0
38,18.5,1,0,0,2,64,0,3,0,1,0,0,0
39,207.5,15,0,0,1,46,0,2,0,0,0,1,0
40,104.42,8,0,0,1,31,0,3,0,1,0,0,0
41,23.43,12,0,0,1,60,0,2,0,0,0,0,1
42,123.04,22,0,1,3,62,0,1,0,0,1,0,0
43,6.3,11,0,0,3,22,0,3,1,0,0,0,0
44,432.08,21,0,1,0,61,0,3,1,0,0,0,0
